artist,artistLabel,nationalityLabel,citizenshipLabel,genderLabel,birthDate,deathDate,birthPlaceLabel,deathPlaceLabel,movementLabel,occupationLabel,paintingSchoolLabel,influencedByLabel,influencedOnLabel,pupilsLabel,teachersLabel,friendsLabel
http://www.wikidata.org/entity/Q100382344,Juan Sánchez Cotán,,,male,,,,,,painter,,,,,,
http://www.wikidata.org/entity/Q100605005,Joan Mates,,,male,,1585-01-01T00:00:00Z,,,,painter,,,,,,
http://www.wikidata.org/entity/Q1008996,Hugo Gellert,"['Hungary', 'United States']","['Hungary', 'United States']",male,1892-05-03T00:00:00Z,1985-12-09T00:00:00Z,Budapest,Freehold Township,,"['graphic artist', 'caricaturist', 'painter', 'illustrator']",,,,,,
http://www.wikidata.org/entity/Q100933905,Pedro Millán,,,male,,,,,,painter,,,,,,
http://www.wikidata.org/entity/Q1009528,Georges Valmier,France,France,male,"['1885-04-10T00:00:00Z', '1885-04-11T00:00:00Z']",1937-03-25T00:00:00Z,Angoulême,Montmartre,Cubism,painter,,,,,,
http://www.wikidata.org/entity/Q1009816,Gerhard Munthe,Norway,Norway,male,1849-07-19T00:00:00Z,1929-01-15T00:00:00Z,Heradsbygd,Lysaker,,"['textile artist', 'painter', 'illustrator']",,,,Ragnhild Thrane,,
http://www.wikidata.org/entity/Q1010603,Giorgio Ghisi,Italy,Italy,male,1520-01-01T00:00:00Z,1582-12-15T00:00:00Z,Mantua,Mantua,,"['copper engraver', 'painter', 'printmaker']",,,,,,
http://www.wikidata.org/entity/Q101242654,Carmela Gross,Brazil,Brazil,female,1946-02-16T00:00:00Z,,São Paulo,,,"['ceramicist', 'artist', 'visual artist', 'sculptor', 'printmaker', 'painter', 'university teacher', 'engraver']",,,,,"['University of São Paulo', 'Escola de Comunicações e Artes da Universidade de São Paulo']","['Departamento de Artes Plásticas da Universidade de São Paulo', 'University of São Paulo', 'Escola de Comunicações e Artes da Universidade de São Paulo']"
http://www.wikidata.org/entity/Q102012841,David Scott,New Zealand,New Zealand,male,1849-01-01T00:00:00Z,1920-01-01T00:00:00Z,,,,"['painter', 'framer']",,,,,,
http://www.wikidata.org/entity/Q102071,Tove Jansson,Finland,Finland,female,1914-08-09T00:00:00Z,2001-06-27T00:00:00Z,Helsinki,Helsinki,,"['cartoonist', 'caricaturist', 'illustrator', 'painter', 'writer', ""children's writer""]",,,,,,
http://www.wikidata.org/entity/Q102108,Alan Lee,United Kingdom,United Kingdom,male,"['1947-08-20T00:00:00Z', '1947-01-01T00:00:00Z']",,London,,,"['artist', 'actor', 'visual artist', 'illustrator', 'painter', 'psychiatrist']",,,,,,
http://www.wikidata.org/entity/Q102241637,Joan Brown,,,female,1945-01-01T00:00:00Z,,Oklahoma,,,"['painter', 'teacher', 'illustrator']",,,,,,
